,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Emerald,-23.5333,148.1667,71.6,68,8,5.75,AU,1611505750
1,Mayo,38.8876,-76.5119,34.0,55,1,10.36,US,1611505750
2,Punta Arenas,-53.15,-70.9167,62.6,36,0,14.97,CL,1611505605
3,Saint-Pierre,-21.3393,55.4781,80.6,74,20,5.75,RE,1611505750
4,Paracuru,-3.41,-39.0306,82.0,71,100,21.99,BR,1611505750
5,Thompson,55.7435,-97.8558,-13.0,70,75,10.36,CA,1611505750
6,Port Alfred,-33.5906,26.891,66.0,91,84,13.31,ZA,1611505751
7,Okha,53.5739,142.9478,-19.97,86,100,15.73,RU,1611505751
8,Margate,51.3813,1.3862,37.0,84,100,4.0,GB,1611505751
9,Rikitea,-23.1203,-134.9692,79.25,65,67,8.52,PF,1611505751
10,Clyde River,70.4692,-68.5914,6.8,92,1,21.85,CA,1611505751
11,Pangnirtung,66.1451,-65.7125,15.39,78,70,3.18,CA,1611505751
12,Fulton,33.7668,-84.4499,51.01,40,1,6.91,US,1611505751
13,Tataouine,32.9297,10.4518,68.0,24,96,14.97,TN,1611505751
14,Albany,42.6001,-73.9662,19.0,36,0,11.99,US,1611505667
15,Ushuaia,-54.8,-68.3,64.4,34,40,19.57,AR,1611505751
16,Bambous Virieux,-20.3428,57.7575,80.6,78,40,3.44,MU,1611505752
17,Merauke,-8.4667,140.3333,79.52,86,99,10.96,ID,1611505752
18,Cape Town,-33.9258,18.4232,71.6,49,0,27.63,ZA,1611505599
19,Qaanaaq,77.484,-69.3632,8.74,78,0,3.38,GL,1611505752
20,Daokou,35.5639,114.5058,40.84,68,100,8.12,CN,1611505752
21,Faya,18.3851,42.4509,64.4,67,0,4.61,SA,1611505752
22,Mana,5.6592,-53.7767,79.99,79,66,13.15,GF,1611505752
23,Hastings,50.8552,0.5729,37.0,77,100,1.99,GB,1611505752
24,Katsuura,35.1333,140.3,44.6,87,75,14.97,JP,1611505752
25,Provideniya,64.3833,-173.3,3.07,85,6,1.28,RU,1611505752
26,Hermanus,-34.4187,19.2345,71.01,57,8,10.0,ZA,1611505753
27,Vaini,-21.2,-175.2,71.6,100,90,11.61,TO,1611505753
28,Saskylakh,71.9167,114.0833,-37.52,79,1,5.59,RU,1611505753
29,Bozhou,33.8772,115.7703,43.99,63,100,5.77,CN,1611505753
30,Bagdarin,54.4333,113.6,-5.31,86,100,3.33,RU,1611505753
31,Nara,34.6851,135.8049,46.99,86,66,2.01,JP,1611505753
32,Vanavara,60.34,102.2797,-21.03,87,99,2.86,RU,1611505754
33,Busselton,-33.65,115.3333,54.0,86,0,6.51,AU,1611505754
34,Longido,-2.7333,36.6833,73.65,58,88,15.37,TZ,1611505754
35,Ilulissat,69.2167,-51.1,19.4,42,25,4.61,GL,1611505755
36,San Patricio,28.017,-97.5169,75.2,88,90,21.85,US,1611505755
37,São João da Barra,-21.6403,-41.0511,87.8,48,40,13.8,BR,1611505755
38,Upernavik,72.7868,-56.1549,16.29,92,0,14.5,GL,1611505755
39,Sarankhola,22.3082,89.7897,61.84,72,0,2.46,BD,1611505755
40,Puerto Ayora,-0.7393,-90.3518,82.4,74,75,13.8,EC,1611505755
41,Salalah,17.0151,54.0924,73.4,56,0,3.69,OM,1611505755
42,Bluff,-46.6,168.3333,57.0,89,71,10.0,NZ,1611505756
43,Port Shepstone,-30.7414,30.455,72.14,87,87,27.49,ZA,1611505756
44,Kansk,56.2017,95.7175,3.65,91,100,4.92,RU,1611505756
45,Tigil',57.8,158.6667,-9.22,91,100,5.3,RU,1611505756
46,Olafsvik,64.8945,-23.7142,29.19,91,85,29.39,IS,1611505756
47,Saint-Augustin,51.226,-58.6502,35.22,85,100,15.7,CA,1611505756
48,Zuwārah,32.9312,12.082,67.55,34,18,17.6,LY,1611505652
49,Chui,-33.6971,-53.4616,82.36,57,42,9.78,UY,1611505756
50,Tasiilaq,65.6145,-37.6368,10.4,56,0,2.3,GL,1611505757
51,Saint Paul Harbor,57.79,-152.4072,35.6,55,1,31.07,US,1611505757
52,Mar del Plata,-38.0023,-57.5575,89.6,40,20,11.5,AR,1611505480
53,São João dos Patos,-6.495,-43.7022,85.84,56,86,9.17,BR,1611505757
54,Butaritari,3.0707,172.7902,78.8,80,25,10.67,KI,1611505757
55,Richards Bay,-28.783,32.0377,73.29,85,100,15.68,ZA,1611505691
56,Kariba,-16.5167,28.8,78.44,82,75,1.68,ZW,1611505758
57,Ossora,59.2353,163.0719,-3.39,84,100,9.06,RU,1611505758
58,Hualmay,-11.0964,-77.6139,76.98,62,20,9.55,PE,1611505758
59,Mataura,-46.1927,168.8643,57.0,89,74,10.0,NZ,1611505758
60,East London,-33.0153,27.9116,66.2,82,90,6.91,ZA,1611505758
61,Hilo,19.7297,-155.09,66.2,77,40,6.91,US,1611505737
62,Santa Maria,-29.6842,-53.8069,87.8,58,75,5.75,BR,1611505758
63,Airai,-8.9266,125.4092,61.57,100,100,2.21,TL,1611505759
64,Wamba,8.9333,8.6,96.48,11,98,7.02,NG,1611505759
65,Kapaa,22.0752,-159.319,73.4,88,40,19.57,US,1611505622
66,Laguna,38.421,-121.4238,41.0,93,20,6.91,US,1611505759
67,Arraial do Cabo,-22.9661,-42.0278,87.8,69,75,20.71,BR,1611505759
68,Haines Junction,60.7522,-137.5108,12.2,92,100,0.81,CA,1611505759
69,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,90,4.61,CA,1611505759
70,Cherskiy,68.75,161.3,-25.01,86,100,7.99,RU,1611505759
71,Yellowknife,62.456,-114.3525,-16.01,76,75,6.91,CA,1611505759
72,Isangel,-19.55,169.2667,78.62,87,100,6.22,VU,1611505618
73,Orán,-23.1322,-64.326,93.6,41,81,3.04,AR,1611505760
74,Tilichiki,60.4667,166.1,-11.58,89,100,13.09,RU,1611505760
75,Kavieng,-2.5744,150.7967,81.95,76,42,7.43,PG,1611505760
76,Boca do Acre,-8.7522,-67.3978,80.33,75,100,4.34,BR,1611505760
77,Smithers,54.7804,-127.1743,15.8,92,90,1.43,CA,1611505760
78,Chokurdakh,70.6333,147.9167,-32.31,83,100,11.41,RU,1611505761
79,Petropavlovsk-Kamchatskiy,53.0452,158.6483,1.4,78,52,8.95,RU,1611505761
80,Tiksi,71.6872,128.8694,-43.33,79,35,7.9,RU,1611505761
81,Taunggyi,20.7833,97.0333,50.97,80,0,0.36,MM,1611505649
82,Avarua,-21.2078,-159.775,80.6,78,20,11.5,CK,1611505761
83,Vila Velha,-20.3297,-40.2925,82.4,65,40,3.44,BR,1611505481
84,Jardim,-21.4803,-56.1381,84.47,76,46,6.26,BR,1611505761
85,Esperance,-33.8667,121.9,57.2,88,40,9.19,AU,1611505761
86,Mikhaylovka,50.06,43.2379,35.01,92,87,8.01,RU,1611505761
87,Mount Gambier,-37.8333,140.7667,71.6,49,51,4.61,AU,1611505761
88,Port Elizabeth,-33.918,25.5701,68.0,77,20,4.61,ZA,1611505762
89,Isla Vista,34.4133,-119.861,48.0,65,1,6.73,US,1611505762
90,Kahului,20.8947,-156.47,70.0,82,1,4.61,US,1611505762
91,Waipawa,-41.4122,175.5153,60.8,77,48,14.97,NZ,1611505762
92,Sisophon,13.5859,102.9737,79.5,65,17,4.88,KH,1611505762
93,Estevan,49.1334,-102.9842,-4.0,71,20,6.91,CA,1611505762
94,Lugovoy,42.9472,72.7644,19.0,92,99,5.23,KZ,1611505763
95,Dingle,10.9995,122.6711,75.47,90,30,5.61,PH,1611505763
96,El Sauzal de Rodríguez,31.9,-116.6833,48.0,90,32,4.0,MX,1611505763
97,Jamestown,42.097,-79.2353,24.8,58,40,2.95,US,1611505763
98,Qaqortoq,60.7167,-46.0333,30.2,29,0,28.77,GL,1611505750
99,College,64.8569,-147.8028,7.0,77,20,3.44,US,1611505763
100,Ambulu,-8.345,113.6058,76.62,78,100,2.98,ID,1611505763
101,St Albans,51.75,-0.3333,35.01,100,90,1.14,GB,1611505518
102,Itarema,-2.9248,-39.9167,87.8,56,98,15.9,BR,1611505763
103,Saint-Philippe,-21.3585,55.7679,80.6,74,20,5.75,RE,1611505763
104,Hvide Sande,56.0045,8.1294,37.4,93,75,2.3,DK,1611505763
105,Khatanga,71.9667,102.5,-19.48,87,100,10.0,RU,1611505764
106,Atuona,-9.8,-139.0333,77.65,77,5,15.08,PF,1611505764
107,Naranjal,-2.6667,-79.6167,77.0,94,75,6.91,EC,1611505764
108,Fukuechō,32.6881,128.8419,53.78,77,29,26.64,JP,1611505764
109,Ponta do Sol,32.6667,-17.1,64.99,66,65,4.0,PT,1611505764
110,Kaitangata,-46.2817,169.8464,59.0,77,62,1.99,NZ,1611505764
111,Nhulunbuy,-12.2333,136.7667,77.0,94,90,11.5,AU,1611505517
112,Talcahuano,-36.7167,-73.1167,69.8,68,20,8.05,CL,1611505764
113,Volot,57.9278,30.7025,35.26,96,100,9.86,RU,1611505764
114,The Valley,18.217,-63.0578,84.2,69,40,16.11,AI,1611505764
115,São Filipe,14.8961,-24.4956,75.58,57,0,7.65,CV,1611505764
116,Dhrāngadhra,22.9833,71.4667,64.53,34,0,9.8,IN,1611505765
117,Xinpu,34.5997,119.1594,40.71,89,92,7.18,CN,1611505765
118,Caibarién,22.5206,-79.4669,77.0,69,75,9.22,CU,1611505765
119,Santa Rosalía,27.3167,-112.2833,57.07,62,31,12.35,MX,1611505765
120,Mahajanga,-15.7167,46.3167,82.4,78,20,8.05,MG,1611505765
121,Timrå,62.487,17.3257,28.99,93,90,5.75,SE,1611505765
122,Barrow,71.2906,-156.7887,-2.2,78,1,20.71,US,1611505765
123,Sitka,57.0531,-135.33,33.8,93,20,8.05,US,1611505766
124,Sur,22.5667,59.5289,67.64,49,0,13.06,OM,1611505472
125,Yumen,40.2833,97.2,20.77,81,40,16.33,CN,1611505766
126,Bani Walid,31.7566,13.9942,64.85,29,56,13.44,LY,1611505766
127,Cabo San Lucas,22.8909,-109.9124,64.99,72,1,14.97,MX,1611505623
128,Kuala Terengganu,5.3302,103.1408,77.0,88,20,4.32,MY,1611505766
129,Dudinka,69.4058,86.1778,-35.86,83,75,4.45,RU,1611505644
130,Hong Kong,22.2855,114.1577,64.0,86,73,3.0,HK,1611505767
131,Bethanien,-26.502,17.1583,91.38,24,97,12.97,NA,1611505767
132,Wągrowiec,52.8084,17.1996,34.0,84,100,2.39,PL,1611505767
133,Tsumeb,-19.2333,17.7167,82.4,44,91,3.44,NA,1611505767
134,Puro,12.4841,123.3827,78.21,85,4,6.78,PH,1611505767
135,Mugur-Aksy,50.35,90.5,-11.24,74,100,4.03,RU,1611505767
136,Sola,-13.8833,167.55,80.1,85,100,15.99,VU,1611505767
137,Kul'dur,49.2167,131.6333,-8.66,81,0,5.32,RU,1611505767
138,Xining,36.6167,101.7667,19.99,94,94,2.37,CN,1611505767
139,Kintinku,-5.8833,35.2333,82.4,44,20,10.36,TZ,1611505767
140,Hithadhoo,-0.6,73.0833,82.69,68,48,2.71,MV,1611505768
141,Naze,28.3667,129.4833,61.61,86,58,8.81,JP,1611505768
142,Campos dos Goytacazes,-21.75,-41.3,87.8,48,40,13.8,BR,1611505532
143,Ancud,-41.8697,-73.8203,64.4,48,0,11.5,CL,1611505768
144,Road Town,18.4167,-64.6167,80.6,69,40,5.75,VG,1611505691
145,Guaratinga,-16.5667,-39.5667,82.4,65,75,9.22,BR,1611505768
146,Sioux Lookout,50.1001,-91.917,10.4,79,90,13.8,CA,1611505768
147,Bose,45.4612,8.0137,45.0,43,0,2.08,IT,1611505768
148,Severo-Kuril'sk,50.6789,156.125,15.3,88,95,5.59,RU,1611505768
149,Acaraú,-2.8856,-40.12,87.6,56,93,15.93,BR,1611505768
150,Natal,-5.795,-35.2094,87.8,66,75,17.27,BR,1611505769
151,Tot'ma,59.9747,42.7642,34.0,95,100,8.03,RU,1611505769
152,Camacha,33.0833,-16.3333,68.0,68,20,5.75,PT,1611505769
153,Nouakchott,18.0858,-15.9785,89.6,4,33,18.41,MR,1611505483
154,Lingao,19.9103,109.6859,67.28,85,0,13.78,CN,1611505769
155,Vostok,46.4856,135.8833,2.73,94,41,3.15,RU,1611505769
156,Samarai,-10.6167,150.6667,81.99,78,43,10.74,PG,1611505770
157,Glace Bay,46.1969,-59.957,27.0,68,75,8.05,CA,1611505770
158,Tual,-5.6667,132.75,84.0,75,100,14.03,ID,1611505770
159,Mahébourg,-20.4081,57.7,80.6,78,40,3.44,MU,1611505770
160,Hasaki,35.7333,140.8333,41.0,87,75,8.05,JP,1611505770
161,Iqaluit,63.7506,-68.5145,1.4,78,75,20.71,CA,1611505759
162,Batagay-Alyta,67.8006,130.4114,-40.04,77,29,1.5,RU,1611505770
163,Bredasdorp,-34.5322,20.0403,68.0,52,82,17.27,ZA,1611505770
164,Bubaque,11.2833,-15.8333,80.17,43,0,8.1,GW,1611505770
165,Hoa Binh,20.8133,105.3383,68.0,77,20,10.36,VN,1611505771
166,Baracoa,20.3467,-74.4958,79.93,68,40,8.03,CU,1611505771
167,Palmer,42.1584,-72.3287,24.01,39,0,4.0,US,1611505771
168,Vaasa,63.096,21.6158,33.8,93,90,1.14,FI,1611505529
169,Dikson,73.5069,80.5464,-13.52,90,100,10.47,RU,1611505771
170,Kiryat Gat,31.61,34.7642,60.01,44,0,2.8,IL,1611505771
171,Pullman,46.7313,-117.1796,26.01,80,90,11.5,US,1611505753
172,New Norfolk,-42.7826,147.0587,64.99,74,75,2.55,AU,1611505772
173,Plácido de Castro,-10.3353,-67.1856,78.26,79,100,2.93,BR,1611505772
174,Kintampo,8.0563,-1.7306,98.06,9,0,5.41,GH,1611505581
175,Alofi,-19.0595,-169.9187,75.2,94,100,1.14,NU,1611505772
176,Hobart,-42.8794,147.3294,68.0,49,87,6.91,AU,1611505772
177,Grão Mogol,-16.5594,-42.8897,79.52,55,86,6.24,BR,1611505772
178,Xixiang,35.1628,112.865,37.0,88,100,3.0,CN,1611505772
179,Lorengau,-2.0226,147.2712,81.25,72,100,4.21,PG,1611505772
180,Avera,33.194,-82.5271,52.0,43,90,6.91,US,1611505773
181,Mandera,3.9366,41.867,91.62,19,64,10.0,KE,1611505773
182,Eaton Socon,52.2175,-0.2893,35.01,95,100,9.17,GB,1611505773
183,Nantucket,41.2835,-70.0995,26.6,43,1,21.85,US,1611505614
184,Nikolskoye,59.7035,30.7861,35.6,93,90,8.95,RU,1611505773
185,Naryan-Mar,67.6713,53.087,-3.78,91,89,11.97,RU,1611505773
186,Sorong,-0.8833,131.25,78.53,84,100,5.26,ID,1611505773
187,Bathsheba,13.2167,-59.5167,84.2,65,40,18.41,BB,1611505773
188,Lagoa,39.05,-27.9833,61.74,90,98,23.67,PT,1611505773
189,Cockburn Town,21.4612,-71.1419,76.82,78,69,12.41,TC,1611505508
190,Pevek,69.7008,170.3133,-19.08,88,86,6.49,RU,1611505774
191,Santa Rosa,14.3122,121.1114,80.6,83,20,2.3,PH,1611505720
192,Yuanping,38.7153,112.7575,30.51,86,100,2.57,CN,1611505774
193,Srednekolymsk,67.45,153.6833,-29.22,84,100,8.21,RU,1611505774
194,Bukachacha,52.9833,116.9167,2.28,86,100,4.52,RU,1611505774
195,Pisco,-13.7,-76.2167,77.0,65,0,9.22,PE,1611505774
196,Carnarvon,-24.8667,113.6333,75.2,78,75,20.71,AU,1611505774
197,Lakhipur,26.0299,90.3041,63.25,62,5,4.9,IN,1611505774
198,Trojes,41.756,19.962,51.8,71,90,13.8,AL,1611505774
199,Pacific Grove,36.6177,-121.9166,51.01,81,90,3.44,US,1611505775
200,Quelimane,-17.8786,36.8883,89.6,74,75,8.05,MZ,1611505775
201,Popondetta,-8.7537,148.2534,73.44,94,100,4.16,PG,1611505517
202,Kumluca,36.3703,30.2869,53.56,80,100,4.41,TR,1611505775
203,Chotila,22.4167,71.1833,62.4,26,0,10.49,IN,1611505775
204,Oranjemund,-28.55,16.4333,65.43,68,5,23.87,NA,1611505775
205,Terrace Bay,48.7834,-87.1,26.6,93,90,10.36,CA,1611505775
206,Abu Dhabi,24.4667,54.3667,68.0,49,0,5.75,AE,1611505713
207,Vestmannaeyjar,63.4427,-20.2734,35.6,51,20,12.66,IS,1611505776
208,Carutapera,-1.195,-46.02,80.94,85,97,7.78,BR,1611505776
209,Sergach,55.5308,45.4661,34.07,97,100,9.82,RU,1611505776
210,Ifanadiana,-21.3,47.6333,73.02,93,91,3.38,MG,1611505776
211,Bend,44.0582,-121.3153,27.0,86,1,9.22,US,1611505557
212,Yangi Marg`ilon,40.4272,71.7189,30.2,55,0,4.61,UZ,1611505776
213,Bograd,54.2344,90.8328,6.8,66,0,6.71,RU,1611505776
214,Castro,-24.7911,-50.0119,71.37,85,100,4.03,BR,1611505776
215,Temirtau,50.0544,72.9483,-16.6,76,0,2.24,KZ,1611505777
216,Marzuq,14.4,46.4667,62.17,29,58,4.56,YE,1611505777
217,Luba,3.4568,8.5547,86.0,74,20,9.22,GQ,1611505777
218,Dovolnoye,54.4958,79.6671,-41.66,81,28,5.86,RU,1611505777
219,Yerbogachën,61.2767,108.0108,-37.19,81,78,1.86,RU,1611505777
220,Dimbokro,6.6451,-4.7048,99.36,14,0,1.74,CI,1611505777
221,Nanortalik,60.1432,-45.2371,23.77,90,0,9.04,GL,1611505777
222,Salinópolis,-0.6136,-47.3561,81.28,83,93,10.45,BR,1611505778
223,Ilo,-17.6394,-71.3375,73.45,68,10,8.55,PE,1611505778
224,Klaksvík,62.2266,-6.589,35.6,80,75,24.16,FO,1611505778
225,Nome,64.5011,-165.4064,17.6,93,90,6.91,US,1611505769
226,George Town,5.4112,100.3354,84.0,89,40,9.22,MY,1611505594
227,Kieta,-6.2167,155.6333,78.24,72,94,3.36,PG,1611505778
228,Narsaq,60.9167,-46.05,30.2,29,0,28.77,GL,1611505778
229,San Quintín,30.4833,-115.95,53.65,72,88,10.25,MX,1611505778
230,San Fernando,15.0286,120.6898,78.8,78,75,2.3,PH,1611505778
231,Uglegorsk,49.0833,142.0333,2.25,89,71,9.01,RU,1611505779
232,Bonthe,7.5264,-12.505,87.6,47,0,12.19,SL,1611505779
233,Segezha,63.7415,34.3222,34.12,99,100,8.75,RU,1611505779
234,Kampene,-3.6,26.6667,71.82,95,100,2.17,CD,1611505779
235,Sheridan,44.8333,-106.9173,21.99,92,90,4.61,US,1611505779
236,Ocampo,21.65,-101.5,63.05,30,95,6.67,MX,1611505779
237,Tambura,5.6,27.4667,90.46,23,66,4.5,SS,1611505779
238,Boden,65.8252,21.6886,10.4,79,90,9.22,SE,1611505779
239,Bengkulu,-3.8004,102.2655,78.42,80,99,4.72,ID,1611505779
240,Raudeberg,61.9875,5.1352,37.0,72,0,14.47,NO,1611505780
241,Lianyuan,27.6883,111.6642,50.43,81,100,3.53,CN,1611505780
242,Tshikapa,-6.4167,20.8,71.28,93,100,3.96,CD,1611505780
243,Šurany,48.0861,18.1845,42.01,68,91,4.16,SK,1611505780
244,Cabedelo,-6.9811,-34.8339,86.0,66,75,16.11,BR,1611505780
245,Peleduy,59.6289,112.7406,-27.69,83,89,0.47,RU,1611505780
246,Bandarbeyla,9.4942,50.8122,73.87,71,25,19.51,SO,1611505781
247,Vejen Municipality,55.4833,9.15,35.6,100,100,2.86,DK,1611505781
248,Saint George,37.1041,-113.5841,33.8,86,1,4.61,US,1611505765
249,Pucallpa,-8.3791,-74.5539,78.8,83,75,6.91,PE,1611505781
250,Coyhaique,-45.5752,-72.0662,64.4,34,20,9.22,CL,1611505781
251,Eberbach,49.4694,8.9928,37.99,80,99,1.99,DE,1611505781
252,Maceió,-9.6658,-35.7353,84.2,61,75,13.8,BR,1611505710
253,Dhadar,28.3305,75.0632,59.54,39,0,5.61,IN,1611505781
254,Domoni,-12.2569,44.5319,80.94,73,82,2.37,KM,1611505781
255,Leningradskiy,69.3833,178.4167,-17.12,82,0,2.26,RU,1611505781
256,Kutum,14.2,24.6667,77.99,17,1,10.8,SD,1611505782
257,Kloulklubed,7.0419,134.2556,80.6,78,75,8.05,PW,1611505782
258,Lutkun,41.4808,47.6858,33.04,63,0,9.71,RU,1611505782
259,Lebu,-37.6167,-73.65,62.71,66,9,15.19,CL,1611505782
260,Qasigiannguit,68.8193,-51.1922,19.4,42,37,4.61,GL,1611505782
261,Chapais,49.7834,-74.8492,3.2,72,90,13.8,CA,1611505782
262,Pangody,65.85,74.4859,-40.02,76,0,5.48,RU,1611505782
263,Georgiyevka,43.0369,74.7114,19.4,79,40,4.47,KZ,1611505782
264,La Seyne-sur-Mer,43.0982,5.8847,50.0,41,0,8.99,FR,1611505782
265,Cizre,37.3272,42.1903,45.12,55,0,2.44,TR,1611505783
266,Upata,8.0086,-62.3989,84.99,70,54,4.0,VE,1611505783
267,Bhīnmāl,25.0,72.25,57.24,30,0,7.43,IN,1611505783
268,Aklavik,68.2191,-135.0107,-29.2,75,1,2.3,CA,1611505783
269,Banjarmasin,-3.3244,114.591,75.2,94,100,4.61,ID,1611505783
270,Marawi,7.9986,124.2928,75.99,92,94,5.99,PH,1611505783
271,Ostrov,57.3439,28.3537,35.6,87,90,6.71,RU,1611505783
272,Hamilton,39.1834,-84.5333,30.2,69,90,3.44,US,1611505784
273,Newport,51.5877,-2.9984,39.99,96,58,4.27,GB,1611505784
274,Talnakh,69.4865,88.3972,-31.7,74,94,3.04,RU,1611505784
275,Mundo Nuevo (Ojo de Agua),18.7,-95.5,75.4,82,2,3.36,MX,1611505784
276,Tieli,46.95,128.05,7.52,92,16,4.05,CN,1611505784
277,Mount Isa,-20.7333,139.5,78.8,53,100,2.3,AU,1611505784
278,Portree,57.4129,-6.1942,35.01,85,88,1.99,GB,1611505784
279,Qingyuan,23.7,113.0333,66.99,72,75,6.71,CN,1611505784
280,Paris,48.8534,2.3488,37.99,100,90,9.22,FR,1611505700
281,Tabou,4.423,-7.3528,81.99,77,15,12.01,CI,1611505785
282,Dunedin,-45.8742,170.5036,55.99,82,80,1.99,NZ,1611505785
283,Norman Wells,65.282,-126.8329,-13.0,84,90,2.3,CA,1611505785
284,Byron Bay,-28.65,153.6167,69.8,88,40,4.61,AU,1611505785
285,Edd,13.9297,41.6925,81.3,47,20,24.25,ER,1611505785
286,Dongsheng,39.8161,109.9776,28.45,87,100,8.75,CN,1611505785
287,Puerto Quijarro,-17.7833,-57.7667,98.04,36,99,3.58,BO,1611505785
288,Yagodnoye,62.55,149.6667,-28.03,82,100,2.13,RU,1611505785
289,Honiara,-9.4333,159.95,76.21,76,57,2.04,SB,1611505786
290,Yar-Sale,66.8333,70.8333,-37.64,80,60,9.53,RU,1611505786
291,Port Blair,11.6667,92.75,76.44,71,35,9.19,IN,1611505696
292,Teya,60.3778,92.6267,-20.07,85,100,0.78,RU,1611505786
293,San Carlos del Zulia,9.0,-71.9135,86.13,61,72,4.09,VE,1611505786
294,Broken Hill,-31.95,141.4333,87.8,18,97,10.36,AU,1611505786
295,Moose Factory,51.2585,-80.6094,-7.6,77,1,4.61,CA,1611505786
